input,target
An ea_ly theme he [WORD_GAP] around his o_iginal vision [WORD_GAP] the project was rejected .,An early theme he designed around his original vision of the project was rejected .
He [WORD_GAP] the [WORD_GAP] theme about seven times [WORD_GAP] the music production due to [WORD_GAP] need [WORD_GAP] reassess the game [WORD_GAP],He redid the main theme about seven times through the music production due to this need to reassess the game .
The rejected main theme was used as a hopeful tune that played duri_g the game 's ending .,The rejected main theme was used as a hopeful tune that played during the game 's ending .
While Sakimoto was most used to working with synthesized music [W_RD_GAP] [WORD_GAP] felt that he needed to [WORD_GAP] live instruments [WORD_GAP] as orchestra and guitar .,"While Sakimoto was most used to working with synthesized music , he felt that he needed to incorporate live instruments such as orchestra and guitar ."
"The guitar was played by Mitsuhiro Ohta , who also [WORD_GAP] several of the later tracks .","The guitar was played by Mitsuhiro Ohta , who also arranged several of the later tracks ."
"[WORD_GAP] game [WORD_GAP] opening theme song , [WORD_GAP] [WORD_GAP] You [WORD_GAP] for ...","The game 's opening theme song , "" If You Wish for ..."
""" ( もしも君が願うのなら , Moshimo Kimi ga [LINE_GAP] , was sung by Japanese singer May 'n .",""" ( もしも君が願うのなら , Moshimo Kimi ga Negauno Nara ) , was sung by Japanese singer May 'n ."
"Its theme was the [WORD_GAP] [WORD_GAP] [WORD_GAP] , in particular their [WORD_GAP] to protect what [WORD_GAP] precious to [WORD_GAP] [WORD_GAP] than [WORD_GAP] sense [WORD_GAP] responsibility or duty .","Its theme was the reason soldiers fought , in particular their wish to protect what was precious to them rather than a sense of responsibility or duty ."
"Its ly_ics were written by Sei_o Fujibayashi , who had worked on May 'n on [WORD_GAP] singl_s .","Its lyrics were written by Seiko Fujibayashi , who had worked on May 'n on previous singles ."
"In September 2010 , a te_ser website was revealed by Sega , hinting at a new Valkyria Chronicles game .","In September 2010 , a teaser website was revealed by Sega , hinting at a new Valkyria Chronicles game ."
In its September [LINE_GAP] Famitsu listed that Senjō no Valkyria 3 would be arriving on the PlayStation Portable .,"In its September issue , Famitsu listed that Senjō no Valkyria 3 would be arriving on the PlayStation Portable ."
"Its first public appearance was at the 2010 Tokyo Game Show ( TGS ) , where a d_mo was made available for journalists and attendees .","Its first public appearance was at the 2010 Tokyo Game Show ( TGS ) , where a demo was made available for journalists and attendees ."
"To promote the game and detail the story leading into the game 's events , an episodic Flash visual novel written by Fujii began release [LINE_GAP]","To promote the game and detail the story leading into the game 's events , an episodic Flash visual novel written by Fujii began release in January 2011 ."
"The game was [LINE_GAP] 27 , 2011 .","The game was released January 27 , 2011 ."
"During an interview [WORD_GAP] the development team said that [WORD_GAP] [WORD_GAP] [WORD_GAP] the [WORD_GAP] [WORD_GAP] downloadable [WORD_GAP] [WORD_GAP] DLC ) , but that no [WORD_GAP] [WORD_GAP] finalized .","During an interview , the development team said that the game had the capacity for downloadable content ( DLC ) , but that no plans were finalized ."
"Multiple DLC m_ps , featuring additional mis_ions and recruitable characters , were released between February and April 2011 .","Multiple DLC maps , featuring additional missions and recruitable characters , were released between February and April 2011 ."
"An expanded edition of the game , Valkyria Chronicles III Extra Edition , r_leased on November 23 , 2011 .","An expanded edition of the game , Valkyria Chronicles III Extra Edition , released on November 23 , 2011 ."
People who also owned the original game could transfer their save da_a between versions .,People who also owned the original game could transfer their save data between versions .
"Unlike its two predecessors , Valkyr_a Chro_icles III was not re_eased in the west .","Unlike its two predecessors , Valkyria Chronicles III was not released in the west ."
[LINE_GAP] this was due to poor sales of Valkyria Chronicles II and the general unpopularity of the PSP in the west .,"According to Sega , this was due to poor sales of Valkyria Chronicles II and the general unpopularity of the PSP in the west ."
"Compatible with the Extra Edition , the patch was [LINE_GAP] January 2014 .","Compatible with the Extra Edition , the patch was released in January 2014 ."
"Famitsu enjoyed the story , and were particularly pleased [LINE_GAP] improvements to gameplay .","Famitsu enjoyed the story , and were particularly pleased with the improvements to gameplay ."
"He praised its gameplay despite annoying limitations to a_pects such as special abilities , and positively noted its shift in story to a tone similar [WORD_GAP] the [WORD_GAP] game .","He praised its gameplay despite annoying limitations to aspects such as special abilities , and positively noted its shift in story to a tone similar to the first game ."
"Its one major criticism were multi_le difficulty spikes , something that had affected the pr_vious games .","Its one major criticism were multiple difficulty spikes , something that had affected the previous games ."
He [WORD_GAP] positively noted the story 's serious tone .,He also positively noted the story 's serious tone .
"His main criticisms were its length and gameplay repetition , along with expressing [LINE_GAP] it would not be localized .","His main criticisms were its length and gameplay repetition , along with expressing regret that it would not be localized ."
"[WORD_GAP] and Riela were featured in the Nintendo 3DS crossover Project [WORD_GAP] Z_ne , representing the Valkyria series .","Kurt and Riela were featured in the Nintendo 3DS crossover Project X Zone , representing the Valkyria series ."
"Media.Vision would return to the series [_ORD_GAP] develop Valkyria : Azure Revolution , with Ozawa returning as director .","Media.Vision would return to the series to develop Valkyria : Azure Revolution , with Ozawa returning as director ."
"Titled Senjō no Valky_ia 3 : Taga Tame no Jūsō ( 戦場_ヴァルキュリア３ 誰がための銃瘡 , lit .","Titled Senjō no Valkyria 3 : Taga Tame no Jūsō ( 戦場のヴァルキュリア３ 誰がための銃瘡 , lit ."
"Valkyria of the Battlefield 3 : The Wound [WORD_GAP] for Someone 's Sake [WORD_GAP] , it was origin_lly released through PlayStation Network and Qriocity between April [WORD_GAP] May 2011 .","Valkyria of the Battlefield 3 : The Wound Taken for Someone 's Sake ) , it was originally released through PlayStation Network and Qriocity between April and May 2011 ."
"It later released for DVD on June 29 and August 31 [LINE_GAP] separate "" Black "" and "" Blue "" editions being available for purchase .","It later released for DVD on June 29 and August 31 , 2011 , with separate "" Black "" and "" Blue "" editions being available for purchase ."
"The anime is set during the latter half of Valkyria Chronicles III , detailing a mission by the Nameless against their Imperial rivals Cal_mity Raven .","The anime is set during the latter half of Valkyria Chronicles III , detailing a mission by the Nameless against their Imperial rivals Calamity Raven ."
The anime was first announced [WORD_GAP] November 2010 [WORD_GAP],The anime was first announced in November 2010 .
[LINE_GAP] for the game was used in the anime .,Sakimoto 's music for the game was used in the anime .
The [WORD_GAP] 's title was inspired [WORD_GAP] the principle purpose of the Nameless : to [WORD_GAP] in battle for the goals of [WORD_GAP] .,The anime 's title was inspired by the principle purpose of the Nameless : to suffer in battle for the goals of others .
"[WO_D_GAP] subtitle attached to the project during [WORD_GAP] was "" The R_ad to Kubinka "" , which referenced the Kubinka Tank Muse_m in Moscow .","A subtitle attached to the project during development was "" The Road to Kubinka "" , which referenced the Kubinka Tank Museum in Moscow ."
"The ending theme [WORD_GAP] "" Someday the Flowers of Light Will [WORD_GAP] "" ( いつか咲く光の花 , Itsuka Saku Hikari [WORD_GAP] Hana ) , was sung by Minami Kuribayashi [WORD_GAP]","The ending theme , "" Someday the Flowers of Light Will Bloom "" ( いつか咲く光の花 , Itsuka Saku Hikari no Hana ) , was sung by Minami Kuribayashi ."
Both son_s ' lyrics [WORD_GAP] written by their respective artists .,Both songs ' lyrics were written by their respective artists .
"[WORD_GAP] manga [WORD_GAP] were produced , following each of the game [WORD_GAP] [WORD_GAP] [WORD_GAP] protagonists Imca [WORD_GAP] Riela .","Two manga adaptations were produced , following each of the game 's main female protagonists Imca and Riela ."
"They were Senjō no Valkyria 3 [LINE_GAP] no Hana ( 戦場のヴァルキュリア3 名もなき誓いの花 , lit .","They were Senjō no Valkyria 3 : Namo naki Chikai no Hana ( 戦場のヴァルキュリア3 名もなき誓いの花 , lit ."
"Valkyria of the Battlefield 3 -The Valkyrie of the Crimson Fate ) , illustrated by [LINE_GAP] eventually released in a single volume by Kadokawa Shoten in 2012 .","Valkyria of the Battlefield 3 -The Valkyrie of the Crimson Fate ) , illustrated by Mizuki Tsuge and eventually released in a single volume by Kadokawa Shoten in 2012 ."
"The To_er Building of the Little Rock Arsenal , also known as U._.","The Tower Building of the Little Rock Arsenal , also known as U.S."
"Arsenal Building , is a building located in MacArthur Park [LINE_GAP] Rock , Arkansas .","Arsenal Building , is a building located in MacArthur Park in downtown Little Rock , Arkansas ."
"Built in 1840 , it was [WORD_GAP] of Little Rock 's [WORD_GAP] [WORD_GAP] installation .","Built in 1840 , it was part of Little Rock 's first military installation ."
"Since [LINE_GAP] , The Tower Building has housed two museums .","Since its decommissioning , The Tower Building has housed two museums ."
It was home to the Arkansas Museum [LINE_GAP] History and Antiquities from 1942 to 1997 and the MacArthur Museum of Arkansas Military History since 2001 .,It was home to the Arkansas Museum of Natural History and Antiquities from 1942 to 1997 and the MacArthur Museum of Arkansas Military History since 2001 .
It has also been the headquarters of the Little Rock Æsthetic [LINE_GAP],It has also been the headquarters of the Little Rock Æsthetic Club since 1894 .
The building receives its name from [LINE_GAP] octagonal tower .,The building receives its name from its distinct octagonal tower .
It was also the starting place of [LINE_GAP],It was also the starting place of the Camden Expedition .
In 2011 it was named as [WORD_GAP] of the [WORD_GAP] [WORD_GAP] attractions in the state of Arkansas by Arkansas.com.,In 2011 it was named as one of the top 10 attractions in the state of Arkansas by Arkansas.com.
[WORD_GAP] land had been previously used as a racetrack by the local jockey club .,The land had been previously used as a racetrack by the local jockey club .
"[WORD_GAP] Wormley Walker , a builder for the Federal Government , supervised the construction .","John Wormley Walker , a builder for the Federal Government , supervised the construction ."
"Work began on the Tow_r Building in 1840 , and it was the first permanent structure of the arsenal to be built .","Work began on the Tower Building in 1840 , and it was the first permanent structure of the arsenal to be built ."
"[WORD_GAP] original plans called for it to be built of stone , however [WORD_GAP] masonry was [WORD_GAP] [WORD_GAP] .","The original plans called for it to be built of stone , however , masonry was used instead ."
"The Ark_nsas Gazette referred to the structure as "" A splendid specimen of masonry "" [WORD_GAP]","The Arkansas Gazette referred to the structure as "" A splendid specimen of masonry "" ."
"For several years the arsenal [WORD_GAP] which was owned by the federal government , se_ved as a simple arms depot and was staffed [WORD_GAP] only [WORD_GAP] h_ndful of soldiers .","For several years the arsenal , which was owned by the federal government , served as a simple arms depot and was staffed with only a handful of soldiers ."
"[WORD_GAP] was planned for February 18 ; however , events [WORD_GAP] the arsenal [WORD_GAP] would [WORD_GAP] wait .","It was planned for February 18 ; however , events at the arsenal , would not wait ."
The first telegraph [LINE_GAP] span between Little Rock and Memphis had recently been completed .,The first telegraph wire to span between Little Rock and Memphis had recently been completed .
Local att_rney John M Harrel was asked to compose the first telegraph dispatched [WORD_GAP] Arkansas 's capital .,Local attorney John M Harrel was asked to compose the first telegraph dispatched from Arkansas 's capital .
"In his message , Harrel reported [LINE_GAP] that more federal troops had been sent to reinforce the Little Rock Arsenal .","In his message , Harrel reported unconfirmed rumors that more federal troops had been sent to reinforce the Little Rock Arsenal ."
The garrison at Fort Smith had been previously transferred to [LINE_GAP] States Arsenal in this city ( Little Rock ) .,The garrison at Fort Smith had been previously transferred to the United States Arsenal in this city ( Little Rock ) .
"-John M Harrel Telegram , January 31 , 1_61","-John M Harrel Telegram , January 31 , 1861"
"[WORD_GAP] item [WORD_GAP] intended simply as a piece of [WORD_GAP] , but telegraph [WORD_GAP] quickly spread the news throughout the [WORD_GAP] [WORD_GAP] fueling procession sentiment .","The item was intended simply as a piece of news , but telegraph lines quickly spread the news throughout the state , fueling procession sentiment ."
The rumor was interpreted by some Arkansans as a call from [WORD_GAP] [WORD_GAP] [WORD_GAP] assemble to help expel the federal troops from the arsenal [WORD_GAP],The rumor was interpreted by some Arkansans as a call from the governor to assemble to help expel the federal troops from the arsenal .
Governor Rector vehemently denied ordering the troops to assemble or giving [LINE_GAP] in connection with the troops .,Governor Rector vehemently denied ordering the troops to assemble or giving any order at all in connection with the troops .
"On February 6 , he sent a formal dema_d for surrender of the arsenal to Captain Totten ,","On February 6 , he sent a formal demand for surrender of the arsenal to Captain Totten ,"
"Perhaps because Abraham Lincoln had not yet been inaugurated as President , Captain Totten received no instructions from [LINE_GAP] forced to withdraw his troops .","Perhaps because Abraham Lincoln had not yet been inaugurated as President , Captain Totten received no instructions from his superiors and was forced to withdraw his troops ."
He agreed to surrender the arsenal as long as the governor a_reed to three provisions :,He agreed to surrender the arsenal as long as the governor agreed to three provisions :
The governor would take [WORD_GAP] of the [WORD_GAP] in the name of the United [WORD_GAP] .,The governor would take possession of the arsenal in the name of the United States .
The soldiers would be allowed safe passage in any direction carrying [LINE_GAP] property besides munitions of war .,The soldiers would be allowed safe passage in any direction carrying any personal and public property besides munitions of war .
"The soldiers would be allowed to [LINE_GAP] leaving under orders , not as conquered and surrendering soldiers .","The soldiers would be allowed to march away as men leaving under orders , not as conquered and surrendering soldiers ."
"On the morning of [WORD_GAP] [WORD_GAP] , 1861 , Rector [WORD_GAP] Totten signed [WORD_GAP] agreement placing the arsenal in [WORD_GAP] hands of state officials .","On the morning of February 8 , 1861 , Rector and Totten signed an agreement placing the arsenal in the hands of state officials ."
"That afternoon , the citizen [WORD_GAP] marched to the arsenal with Governor Rector at its head [WORD_GAP]","That afternoon , the citizen militia marched to the arsenal with Governor Rector at its head ."
Thus there were no substantial operations for ordnance fabrication [LINE_GAP] for the manufacture of cartridges at the time the Arsenal fell into State hands .,"Thus there were no substantial operations for ordnance fabrication or repairs , nor for the manufacture of cartridges at the time the Arsenal fell into State hands ."
Most of these operations were started fr_m scra_ch through the efforts of the [W_RD_GAP] Mi_itary Board .,Most of these operations were started from scratch through the efforts of the Arkansas Military Board .
Long [LINE_GAP] the Arsenal 's inventory consisted of :,Long arms in the Arsenal 's inventory consisted of :
M1842 .69 [LINE_GAP] percussion ) 357,M1842 .69 cal smoothbore ( percussion ) 357
"M1841 rifle ( "" Mississippi Rifle "" ) 54","M1841 rifle ( "" Mississippi Rifle "" ) 54"
"The 9th and 10th Arkansas , four companies of K_lly 's 9th Arkansas Battalion , and the 3rd Arkansas Cavalry Regiment were issued flin_lock Hall 's Rifles .","The 9th and 10th Arkansas , four companies of Kelly 's 9th Arkansas Battalion , and the 3rd Arkansas Cavalry Regiment were issued flintlock Hall 's Rifles ."
"[WORD_GAP] of the equipment , arms , and machinery at the Little Rock Arsenal was removed to east of [WORD_GAP] Mississippi River by order of Maj.","Most of the equipment , arms , and machinery at the Little Rock Arsenal was removed to east of the Mississippi River by order of Maj."
"Earl Van Dorn in [LINE_GAP] , and accountability for it is lost at that point .","Earl Van Dorn in April and May 1862 , and accountability for it is lost at that point ."
"Hindman , [WORD_GAP] to [WORD_GAP] the district of Arkansas in May , 1862 , found the state nearly destitute of military material .","Hindman , sent to command the district of Arkansas in May , 1862 , found the state nearly destitute of military material ."
"Hindman established an_ther ar_ory at Arkadelphia , and revived the Little Rock Arsenal as a collection point and depot for armamen_s and ammunition manufacture for small arms .","Hindman established another armory at Arkadelphia , and revived the Little Rock Arsenal as a collection point and depot for armaments and ammunition manufacture for small arms ."
""" Machinery was ma_e for manufacturing percussion c_ps and small arms , and both were turned out in [WORD_GAP] quantity , [WORD_GAP] of excellent quality .",""" Machinery was made for manufacturing percussion caps and small arms , and both were turned out in small quantity , but of excellent quality ."
"Mo_t of these works were [WORD_GAP] at or near Arkadelphia on the Ou_chita River , 75 miles s_uth from Little Rock .","Most of these works were located at or near Arkadelphia on the Ouachita River , 75 miles south from Little Rock ."
"The tools , machinery , and the material were gathered piecemeal or [LINE_GAP] hand labor .","The tools , machinery , and the material were gathered piecemeal or else made by hand labor ."
"This ammunition , and that which I brought with me , was rapidly [LINE_GAP] use at the Laboratory established at the Little Rock Arsenal for that purpose .","This ammunition , and that which I brought with me , was rapidly prepared for use at the Laboratory established at the Little Rock Arsenal for that purpose ."
Two days elapsed before [LINE_GAP] be effected .,Two days elapsed before the change could be effected .
"The Confederate ordnance establi_hment at [WORD_GAP] Rock was reactivated in August , 1862 .","The Confederate ordnance establishment at Little Rock was reactivated in August , 1862 ."
"[WORD_GAP] around for a suitable person to head this [WORD_GAP] , General Hindman turned to the Confederate Navy and borrowed [WORD_GAP] John W.","Looking around for a suitable person to head this activity , General Hindman turned to the Confederate Navy and borrowed Lieutenant John W."
Dunnington [LINE_GAP] of the gunboat C.S.S.,Dunnington was the commander of the gunboat C.S.S.
Ponchartrain [WORD_GAP] which had been brought [WORD_GAP] Little Rock [WORD_GAP] [WORD_GAP] of converting it to an ironclad .,"Ponchartrain , which had been brought to Little Rock in hopes of converting it to an ironclad ."
"[LINE_GAP] for the month of August , 1862 , at Little Rock Arsenal , C.S.A.","Dunnington 's "" Returns for the month of August , 1862 , at Little Rock Arsenal , C.S.A."
", "" are [LINE_GAP] .",", "" are found in Vol ."
"According to [WORD_GAP] , "" When I [WORD_GAP] command [WORD_GAP] this Post , all material had been [WORD_GAP] to Arkadelphia .","According to Dunnington , "" When I assumed command at this Post , all material had been removed to Arkadelphia ."
Th_re were no persons employed .,There were no persons employed .
No shops were op_n for repair of arms or for fabricating ammunition .,No shops were open for repair of arms or for fabricating ammunition .
"Material , t_ols , etc .","Material , tools , etc ."
", had to be [WORD_GAP] as well as [WORD_GAP] employment [WORD_GAP] laborers [WORD_GAP]",", had to be procured as well as the employment of laborers ."
Work commenced the last [WORD_GAP] [WORD_GAP] the [WORD_GAP] .,Work commenced the last part of the month .
"The military force at Little Rock under Dunnington 's command consisted of four officers : himself , Major John B.","The military force at Little Rock under Dunnington 's command consisted of four officers : himself , Major John B."
[WORD_GAP] [WORD_GAP] and 2nd Lt.,"Green , and 2nd Lt."
"Dunnington continued to build up his works at Little Ro_k until November 1862 , when Captain Sanford C.","Dunnington continued to build up his works at Little Rock until November 1862 , when Captain Sanford C."
Faulkner ( composer of The Arkansas [WORD_GAP] [WORD_GAP] was placed [WORD_GAP] charge of the Arsenal .,Faulkner ( composer of The Arkansas Traveler ) was placed in charge of the Arsenal .
Dunnington presumably returned to [LINE_GAP] the Ponchartrain .,Dunnington presumably returned to his naval duties and the Ponchartrain .
"[WORD_GAP] "" Summary of the Work Done for November [WORD_GAP] 1862 , Little Rock [WORD_GAP] "" shows [WORD_GAP] Fabrication :","A "" Summary of the Work Done for November , 1862 , Little Rock Arsenal "" shows : Fabrication :"
23 pistols ( repaired mos_ly for troops in service ),23 pistols ( repaired mostly for troops in service )
752 packages of ordnance and ordnance stores received and mostly issued [WORD_GAP] troops in service .,752 packages of ordnance and ordnance stores received and mostly issued to troops in service .
"[LINE_GAP] , and police duties .","Guard , office , and police duties ."
"Perhaps the most illuminating points of the above [WORD_GAP] Summary [WORD_GAP] Work "" and those for following months are th_t the standard ammunition made was .","Perhaps the most illuminating points of the above "" Summary of Work "" and those for following months are that the standard ammunition made was ."
"The "" Sum_aries of Work done at Little Rock Arsenal , C.S._.","The "" Summaries of Work done at Little Rock Arsenal , C.S.A."
""" continue at about the same pace and scale from [LINE_GAP] 1863 .",""" continue at about the same pace and scale from August 1862 until August 1863 ."
"In 1873 , the building [WORD_GAP] renamed Little Rock [WORD_GAP] [WORD_GAP] used as a barracks for married officers and their families .","In 1873 , the building was renamed Little Rock Barracks and used as a barracks for married officers and their families ."
The building was [WORD_GAP] altered the inside and outside .,The building was drastically altered the inside and outside .
"Prior to renovation , a rear basement door provided the [WORD_GAP] [WORD_GAP] [WORD_GAP] the building , while the tower served as a hoist to [WORD_GAP] munitions [WORD_GAP] floors .","Prior to renovation , a rear basement door provided the only entrance to the building , while the tower served as a hoist to move munitions between floors ."
"In 1880 , Dougl_s MacArthur was born on the northwest up_er floor of this building while his father , Captain Arthur MacArthur , was stationed there .","In 1880 , Douglas MacArthur was born on the northwest upper floor of this building while his father , Captain Arthur MacArthur , was stationed there ."
"In the 1880s , the federal government began closing many sm_ll arsenals around the country in fa_or of smaller ones b_ilt near railroads for quick deployment .","In the 1880s , the federal government began closing many small arsenals around the country in favor of smaller ones built near railroads for quick deployment ."
"The arsenal [LINE_GAP] word from Washington that the Little Rock site must be abandoned "" not later than October 1 , 1890 .","The arsenal commander received word from Washington that the Little Rock site must be abandoned "" not later than October 1 , 1890 ."
That site later [WORD__AP] Fort Logan H.,That site later became Fort Logan H.
All of the [WORD_GAP] buil_ings [WORD_GAP] the Tower Building [WORD_GAP] demolished .,All of the original buildings surrounding the Tower Building were demolished .
"In 1894 [WORD_GAP] Little Rock Æsthetic [WORD_GAP] , one of the oldest women [WORD_GAP] societies [WORD_GAP] of [WORD_GAP] Mississippi River [WORD_GAP] moved [WORD_GAP] the Tower Building .","In 1894 the Little Rock Æsthetic Club , one of the oldest women 's societies west of the Mississippi River , moved into the Tower Building ."
This was prompted due to increased membership and a need [LINE_GAP] more permanent quarters .,"This was prompted due to increased membership and a need for larger , more permanent quarters ."
"At the fair 's conclusion , artifacts from the exhibit were displayed in the Tower Building , with the Æsth_tic Cl_b invited to meet in the "" Columbian Room .","At the fair 's conclusion , artifacts from the exhibit were displayed in the Tower Building , with the Æsthetic Club invited to meet in the "" Columbian Room ."
"Except for Æsthetic Club meetings , the Tower Building remained largely unoccupied for al_ost fifty yea_s and suffered significant deterioration .","Except for Æsthetic Club meetings , the Tower Building remained largely unoccupied for almost fifty years and suffered significant deterioration ."
The Æsthetic Club [WORD_GAP] still headquartered in the Tower Building .,The Æsthetic Club is still headquartered in the Tower Building .
